Văn Hùng,30,true,3233,2312,hungvv@gmail.com,1,Colleges,Manager,400.0
An,43,true,32,32,an@gmail.com,2,University,Expert,200.0
Kha,33,true,432,3243,kha@gmail.com,3,University,Expert,300.0
Ngọc,26,false,3234,4352,ngoc@gmail.com,4,Colleges,Expert,400.0
Uy,34,true,432,4324,uy@gmail.com,5,Colleges,Servants,500.0
Khá,34,true,23,23,khas@gmail.com,6,Colleges,Servants,600.0
Tâm,33,false,4402,4874,tam@gmail.com,7,University,Supervisor,700.0
Long,40,true,4402,9874,long@gmail.com,8,null,Expert,800.0
Nam,30,true,423,423,cuong@gmail.com,13,null,Expert,900.0
Xuân,30,false,323,323,xuan@gmail.com,10,Intermediate,Servants,433.0
Ninh,25,true,32,23,ninh@gmail.com,14,Colleges,Expert,444.0

